Wavenumber;Absorbance
681.24;1.63
681.48;1.63
681.72;1.63
681.97;1.63
682.21;1.62
682.45;1.62
682.69;1.62
682.93;1.62
683.17;1.62
683.41;1.63
683.65;1.63
683.89;1.63
684.13;1.63
684.38;1.63
684.62;1.63
684.86;1.63
685.10;1.63
685.34;1.63
685.58;1.63
685.82;1.63
686.06;1.63
686.30;1.63
686.55;1.63
686.79;1.63
687.03;1.63
687.27;1.62
687.51;1.62
687.75;1.62
687.99;1.62
688.23;1.62
688.47;1.62
688.72;1.62
688.96;1.62
689.20;1.62
689.44;1.62
689.68;1.61
689.92;1.61
690.16;1.61
690.40;1.61
690.64;1.61
690.88;1.61
691.13;1.61
691.37;1.60
691.61;1.60
691.85;1.60
692.09;1.60
692.33;1.59
692.57;1.59
692.81;1.59
693.05;1.59
693.30;1.59
693.54;1.59
693.78;1.58
694.02;1.58
694.26;1.58
694.50;1.58
694.74;1.58
694.98;1.58
695.22;1.58
695.46;1.58
695.71;1.57
695.95;1.57
696.19;1.57
696.43;1.57
696.67;1.56
696.91;1.56
697.15;1.56
697.39;1.56
697.63;1.55
697.88;1.55
698.12;1.55
698.36;1.55
698.60;1.55
698.84;1.55
699.08;1.55
699.32;1.55
699.56;1.55
699.80;1.55
700.04;1.55
700.29;1.55
700.53;1.55
700.77;1.55
701.01;1.55
701.25;1.55
701.49;1.55
701.73;1.55
701.97;1.55
702.21;1.55
702.46;1.54
702.70;1.54
702.94;1.54
703.18;1.54
703.42;1.54
703.66;1.54
703.90;1.53
704.14;1.53
704.38;1.53
704.63;1.53
704.87;1.53
705.11;1.53
705.35;1.53
705.59;1.53
705.83;1.53
706.07;1.53
706.31;1.53
706.55;1.53
706.79;1.53
707.04;1.53
707.28;1.53
707.52;1.53
707.76;1.53
708.00;1.52
708.24;1.52
708.48;1.52
708.72;1.52
708.96;1.52
709.21;1.52
709.45;1.52
709.69;1.52
709.93;1.52
710.17;1.52
710.41;1.52
710.65;1.52
710.89;1.52
711.13;1.52
711.37;1.52
711.62;1.52
711.86;1.52
712.10;1.52
712.34;1.52
712.58;1.52
712.82;1.52
713.06;1.53
713.30;1.53
713.54;1.53
713.79;1.53
714.03;1.53
714.27;1.53
714.51;1.54
714.75;1.54
714.99;1.54
715.23;1.54
715.47;1.54
715.71;1.55
715.96;1.55
716.20;1.55
716.44;1.56
716.68;1.56
716.92;1.56
717.16;1.57
717.40;1.57
717.64;1.57
717.88;1.58
718.12;1.59
718.37;1.59
718.61;1.60
718.85;1.61
719.09;1.62
719.33;1.63
719.57;1.64
719.81;1.65
720.05;1.67
720.29;1.69
720.54;1.70
720.78;1.72
721.02;1.74
721.26;1.77
721.50;1.79
721.74;1.81
721.98;1.84
722.22;1.87
722.46;1.89
722.70;1.92
722.95;1.94
723.19;1.96
723.43;1.97
723.67;1.97
723.91;1.97
724.15;1.95
724.39;1.93
724.63;1.90
724.87;1.88
725.12;1.85
725.36;1.82
725.60;1.79
725.84;1.76
726.08;1.73
726.32;1.70
726.56;1.68
726.80;1.65
727.04;1.63
727.29;1.62
727.53;1.60
727.77;1.59
728.01;1.57
728.25;1.56
728.49;1.55
728.73;1.55
728.97;1.54
729.21;1.53
729.45;1.53
729.70;1.52
729.94;1.52
730.18;1.52
730.42;1.51
730.66;1.51
730.90;1.51
731.14;1.50
731.38;1.50
731.62;1.50
731.87;1.49
732.11;1.49
732.35;1.49
732.59;1.49
732.83;1.49
733.07;1.49
733.31;1.48
733.55;1.48
733.79;1.48
734.03;1.48
734.28;1.48
734.52;1.48
734.76;1.48
735.00;1.48
735.24;1.48
735.48;1.48
735.72;1.48
735.96;1.48
736.20;1.47
736.45;1.47
736.69;1.47
736.93;1.47
737.17;1.47
737.41;1.47
737.65;1.47
737.89;1.47
738.13;1.47
738.37;1.47
738.61;1.47
738.86;1.47
739.10;1.47
739.34;1.47
739.58;1.47
739.82;1.47
